x,y
-9.41394,38.91073
-9.41166,38.90822
-9.41169,38.90899
-9.40989,38.90814
-9.41003,38.90831
-9.41164,38.90964
-9.41114,38.91031
-9.41047,38.91036
-9.41424,38.91094
-9.41207,38.91217
-9.41018,38.9116
-9.41003,38.91256
-9.41028,38.91313
-9.40925,38.90823
-9.40749,38.90896
-9.40857,38.91003
-9.40942,38.91032
-9.40943,38.91053
-9.4079,38.90957
-9.4079,38.9097
-9.40801,38.90988
-9.40736,38.91009
-9.40753,38.91105
-9.41434,38.91619
-9.41244,38.91396
-9.41694,38.92544
-9.41698,38.92577
-9.41701,38.92966
-9.39756,38.85591
-9.3966,38.85655
-9.39682,38.85662
-9.3969,38.85674
-9.39694,38.85716
-9.3964,38.85663
-9.39673,38.85711
-9.39713,38.85754
-9.39817,38.85889
-9.39821,38.85928
-9.39858,38.8604
-9.39749,38.86034
-9.3979,38.86062
-9.39776,38.86055
-9.3974,38.86033
-9.3973,38.86038
-9.39587,38.85968
-9.31804,38.86423
-9.31865,38.86681
-9.31768,38.86607
-9.31761,38.86619
-9.31717,38.86608
-9.31674,38.86612
-9.31755,38.86633
-9.31701,38.86652
-9.31699,38.86662
-9.31666,38.86688
-9.31651,38.86686
-9.31645,38.86684
-9.31884,38.86716
-9.31873,38.86711
-9.31846,38.86691
-9.31778,38.86693
-9.31658,38.86727
-9.31833,38.86847
-9.31816,38.86863
-9.31651,38.86845
-9.32553,38.8772
-9.3248,38.87777
-9.32256,38.87774
-9.32216,38.87776
-9.32614,38.87788
-9.32543,38.87825
-9.32539,38.87834
-9.32499,38.87952
-9.32391,38.87806
-9.32348,38.87806
-9.32137,38.87791
-9.40349,38.91393
-9.35345,38.91141
-9.32123,38.91303
-9.35588,38.91671
-9.35531,38.91755
-9.35637,38.91886
-9.35491,38.91883
-9.354,38.91392
-9.35017,38.91597
-9.35277,38.9167
-9.35382,38.91776
-9.35404,38.91838
-9.35388,38.91838
-9.35481,38.91881
-9.35463,38.91895
-9.35386,38.91856
-9.35392,38.91873
-9.35177,38.9167
-9.35878,38.92062
-9.35604,38.91922
-9.34813,38.92204
-9.34051,38.92257
-9.32659,38.91398
-9.32673,38.91447
-9.32678,38.91452
-9.32579,38.91488
-9.32396,38.91493
-9.32382,38.91608
-9.32382,38.91615
-9.32301,38.91549
-9.32312,38.91606
-9.32229,38.91783
-9.32227,38.92365
-9.32178,38.92052
-9.31862,38.91953
-9.32142,38.92311
-9.3196,38.92258
-9.32036,38.92448
-9.32093,38.92509
-9.31809,38.92653
-9.31851,38.92692
